,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
111,1211061578215129,23,00 year(s) 08 month(s) 13 day(s),L1,Dogs 606 A1,Cruelty Exam,L1,M,A0059106777,-
112,1211129823082872,53,02 year(s) 08 month(s) 25 day(s),L1,Dogs 603 A6,Available,L1,S,A0057378952,+
113,1211175778745299,81,08 year(s) 00 month(s) 16 day(s),L2 - SF,Dogs 601 1,Available,L2,M,A0059095840,-
114,1211132406078241,40,06 year(s) 00 month(s) 14 day(s),L2-BR/H,Dogs 606 A7,Priority,L2,S,A0056551335,+
115,1211132576191247,84,06 year(s) 00 month(s) 11 day(s),L2 - SF,Dogs 603 A3,Available,L2,M,A0059109555,-
116,1211098027070601,52,01 year(s) 08 month(s) 07 day(s),L1,Dogs 601 7,Microchip,L1,N,A0057506506,-
117,1211017284377266,58,02 year(s) 01 month(s) 08 day(s),L2-A,Dogs 601 9,Priority,L2,N,A0058945194,-
118,1211115467057868,54,04 year(s) 01 month(s) 04 day(s),L1,Dogs 606 A4,Available,L1,S,A0058970953,-
119,1211030308402837,51,02 year(s) 01 month(s) 01 day(s),L2-BR/SF,Foster Trial Adoption,Trial Adoption,L2,S,A0058992373,-
120,1211150313355728,37,01 year(s) 00 month(s) 19 day(s),L2-JM/RG,Foster Foster Home,Available,L2,M,A0059079264,-
121,1211133176799618,47,02 year(s) 00 month(s) 21 day(s),L2-OA,Foster Foster Home,Available,L2,F,A0059069956,-
122,1211038547723496,43,04 year(s) 01 month(s) 10 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0058923964,-
123,1211132665387307,46,05 year(s) 00 month(s) 23 day(s),L2-SF,Dogs 602 2,Priority,L2,F,A0059053543,+
124,1211152448744005,39,01 year(s) 00 month(s) 06 day(s),L1,Dogs 606 A5,Available,L1,M,A0059223836,+
125,1211131257471108,59,04 year(s) 00 month(s) 05 day(s),L1,Dogs 602 4,Available,L1,S,A0059211044,-
126,1211129918183686,56,03 year(s) 02 month(s) 04 day(s),L1,Foster Foster Home,Available,L1,N,A0058771442,-
127,1211127709627536,84,04 year(s) 01 month(s) 20 day(s),L1,Dogs 503 A5,Available,L1,M,A0058867555,+
128,1211132928328457,57,05 year(s) 01 month(s) 19 day(s),L1,Dogs 503 B3,Available,L1,M,A0058871529,-
129,1211073765302183,55,03 year(s) 01 month(s) 11 day(s),L1,Dogs 503 B4,Available,L1,M,A0058932264,+
130,1211166840210411,46,02 year(s) 07 month(s) 07 day(s),L1,Dogs 506 A2,Available,L1,S,A0058956070,-
131,1211164066594123,52,02 year(s) 02 month(s) 00 day(s),L1,Dogs 506 A7,Priority,L1,N,A0058804090,-
132,1211129845101321,46,03 year(s) 01 month(s) 04 day(s),L1,Dogs 503 B1,Available,L1,F,A0058978092,-
133,1211129847232494,63,04 year(s) 01 month(s) 02 day(s),L1,Dogs 503 B2,Available,L1,M,A0058985496,+
134,1211107385227557,71,03 year(s) 01 month(s) 13 day(s),L1,Dogs 506 B6,Available,L1,F,A0058923121,+
135,1211129585884785,58,03 year(s) 03 month(s) 02 day(s),L2-SF,Dogs 503 A2,Available,L2,N,A0058576129,+
136,1211073626981886,56,03 year(s) 00 month(s) 30 day(s),L2-SF,Dogs 501 9,Available,L2,M,A0058991756,-
137,1211129874518901,57,04 year(s) 00 month(s) 30 day(s),L1,Dogs 501 3,Available,L1,N,A0059005876,-
138,1211039494805298,48,02 year(s) 00 month(s) 29 day(s),L2-SF,Dogs 501 4,Available,L2,M,A0059018919,-
139,1211107350009392,72,02 year(s) 01 month(s) 14 day(s),L1,Dogs 506 B2,Available,L1,M,A0058908520,+
